date,ticker,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,investment_buy,investment_sell,investment_net,dealer_buy,dealer_sell,dealer_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,total_net,source
2026-05-29,00751B.TW,元大AAA至A公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00752.TW,中信中國50,362000,227000,135000,0,0,0,0,0,0,1328278,1025562,302716,0,0,0,1328278,1025562,302716,437716,TWSE
2026-05-29,00753L.TW,中信中國50正2,893000,524000,369000,0,0,0,0,0,0,9353471,3154468,6199003,0,0,0,9353471,3154468,6199003,6568003,TWSE
2026-05-29,00754B.TW,群益AAA-AA公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00755B.TW,群益投資級公用債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00756B.TW,群益投等新興公債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00757.TW,統一FANG+,438000,3250,434750,0,0,0,0,0,0,475236,9000,466236,20000,9000,11000,455236,0,455236,900986,TWSE
2026-05-29,00758B.TW,復華能源債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00759B.TW,復華製藥債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00760B.TW,復華新興企業債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00761B.TW,國泰A級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00762.TW,元大全球AI,578000,0,578000,0,0,0,0,0,0,198064,704000,-505936,0,0,0,198064,704000,-505936,72064,TWSE
2026-05-29,00763U.TW,期街口道瓊銅,6000,7000,-1000,0,0,0,0,0,0,288980,174847,114133,1000,0,1000,287980,174847,113133,113133,TWSE
2026-05-29,00764B.TW,群益25年美債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00768B.TW,復華20年美債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00770.TW,國泰北美科技,56000,33085,22915,0,0,0,0,0,0,345046,175796,169250,0,0,0,345046,175796,169250,192165,TWSE
2026-05-29,00771.TW,元大US高息特別股,0,0,0,0,0,0,0,0,0,27000,0,27000,0,0,0,27000,0,27000,27000,TWSE
2026-05-29,00772B.TW,中信高評級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00773B.TW,中信優先金融債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00775B.TW,新光投等債15+,1000,0,1000,0,0,0,0,0,0,160164,160000,164,0,0,0,160164,160000,164,1164,TWSE
2026-05-29,00777B.TW,凱基AAA至A公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
