ticker,buy_sell_1d,buy_sell_3d,buy_sell_5d,buy_sell_10d,foreign_1d,foreign_3d,foreign_5d,foreign_10d,investment_1d,investment_3d,investment_5d,investment_10d,dealer_1d,dealer_3d,dealer_5d,dealer_10d
2890.TW,22461516,85799454,122228539,215119977,-1129752,32292473,70576505,158635620,23851011,54259035,52309262,54194484,-259743,-752054,-657228,2289873
9904.TW,-12464027,-29900889,-50261027,-53615234,-9028000,-24473654,-42556654,-45148717,-3395627,-10227113,-12866347,-13796866,-40400,4799878,5161974,5330349
9933.TW,2564255,3730404,7343067,8199009,2685035,3996096,7756230,8499715,-13000,-7000,5800,271800,-107780,-258692,-418963,-572506
9945.TW,-3625314,-2987010,-8199097,-11806366,-4209499,-5124301,-10407928,-14031973,683000,2050000,2060000,2097000,-98815,87291,148831,128607
3702.TW,-97019,2955121,1373675,8007641,76318,3919699,3036422,38821200,298000,-87000,222357,-27760779,-471337,-877578,-1885104,-3052780
6415.TW,-641175,-2598558,-2737839,-2453915,-1280071,-3805654,-5500639,-4313957,637000,1177000,2544000,1753000,1896,30096,218800,107042
2379.TW,851596,3424808,5650914,5687819,744501,3121466,4685422,-5223919,99736,48699,622325,10906523,7359,254643,343167,5215
3059.TW,609942,-2071104,-1567775,-1255978,649464,-2375738,-2097765,-1334036,0,0,0,-3000,-39522,304634,529990,81058
2474.TW,-1468956,-4822070,-7138396,-14456828,-1094243,-3582853,-5313755,-8234445,-434959,-1505376,-2550893,-6701164,60246,266159,726252,478781
3014.TW,436367,1602486,1081085,-1378795,395936,1418552,907698,-1616161,34977,128777,137771,116858,5454,55157,35616,120508
3036.TW,-1969754,-8455795,-15022383,-14836352,-1199875,-5563993,-11753053,16893262,-976870,-1962644,-2318404,-31292148,206991,-929158,-950926,-437466
3042.TW,-6595618,-5981304,1681363,-9509637,-971625,-426430,4292170,-4421580,-5514000,-5553000,-5032300,-3319300,-109993,-1874,2421493,-1768757
3515.TW,2198,15555,-213082,-569174,50980,69117,40357,-310347,0,0,0,-1000,-48782,-53562,-253439,-257827
3706.TW,-3286259,-2396434,-14427374,-41268958,-3537314,-3989867,-16536231,-40956683,196000,853175,853175,720175,55055,740258,1255682,-1032450
3715.TW,16402836,21044346,23941675,26152835,15309945,19688191,22416886,25131162,555000,555000,555000,281000,537891,801155,969789,740673
4919.TW,3854189,3411534,687455,-9821112,3660282,1853822,-1125240,-11994872,0,340000,290289,638289,193907,1217712,1522406,1535471
5347.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5371.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5483.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6176.TW,855149,2055100,-4884874,-16101639,4383372,10255237,3543503,13819084,-3547974,-8080966,-8178447,-29932253,19751,-119171,-249930,11530
6202.TW,1825616,2046102,6066058,7955386,1651962,1523599,5373422,7223527,0,0,0,38000,173654,522503,692636,693859
6278.TW,-21889,-2334689,-5398660,-741459,866050,253794,-4035552,8558583,-887000,-2836000,-1044420,-8692814,-939,247517,-318688,-607228
6409.TW,94503,65997,27852,1720255,94889,64046,84876,1916817,-932,-5958,-10307,-867,546,7909,-46717,-195695
1229.TW,-814669,-457489,989,2361151,-809000,-521469,-85756,2235430,-1000,20591,20591,4591,-4669,43389,66154,121130
1231.TW,-71910,-121632,-301883,-236577,-75000,-109948,-294319,-240969,0,0,0,-2000,3090,-11684,-7564,6392
1210.TW,-86000,-37134,997324,8981282,-202000,-640700,-2873713,-15759789,111000,522000,3792000,24776000,5000,81566,79037,-34929
1215.TW,43072,290285,-1364275,-3353011,43000,534342,-1124658,3701398,0,-240000,-240000,-7048000,72,-4057,383,-6409
1234.TW,17000,-17058,108511,152689,23000,-18420,98680,142874,0,0,0,0,-6000,1362,9831,9815
1707.TW,-270485,-614734,-736694,-624676,-268905,-610529,-734029,-638841,0,0,0,0,-1580,-4205,-2665,14165
1722.TW,511241,444555,1980401,6483986,512246,503560,1991413,6452757,-1000,-6000,-6000,-17000,-5,-53005,-5012,48229
1723.TW,589214,601216,1021603,2063774,543075,682936,1059429,2088525,-3000,-2000,2000,77000,49139,-79720,-39826,-101751
1736.TW,-181887,-163861,206300,1176490,-186886,-151889,214273,1075033,0,0,0,145000,4999,-11972,-7973,-43543
